,accuracy,loss,val_accuracy,val_loss
0,0.5483871102333069,0.6894611120223999,0.625,0.67906653881073
1,0.6451612710952759,0.6737940311431885,0.625,0.6701596975326538
2,0.6451612710952759,0.6853393316268921,0.625,0.6504635810852051
3,0.6451612710952759,0.6446576714515686,0.875,0.6244487762451172
4,0.7419354915618896,0.6266441941261292,0.875,0.5994561910629272
5,0.7419354915618896,0.6142786145210266,0.8125,0.5592392086982727
6,0.7580645084381104,0.5710590481758118,0.875,0.4934459328651428
7,0.774193525314331,0.5427982211112976,0.875,0.4233941435813904
8,0.774193525314331,0.48829910159111023,0.875,0.35644471645355225
9,0.8225806355476379,0.4765114486217499,0.875,0.3075745403766632
10,0.8225806355476379,0.42397770285606384,0.875,0.2788071632385254
11,0.8548387289047241,0.3373658061027527,0.9375,0.25881141424179077
12,0.8387096524238586,0.4143410325050354,0.875,0.2210608422756195
13,0.9032257795333862,0.2790088355541229,1.0,0.20562995970249176
14,0.8870967626571655,0.33907896280288696,0.9375,0.18056122958660126
15,0.8548387289047241,0.30789268016815186,0.875,0.1719123125076294
16,0.8225806355476379,0.4609059989452362,0.875,0.17839057743549347
17,0.8225806355476379,0.36754804849624634,0.875,0.27357256412506104
18,0.8870967626571655,0.28494328260421753,0.875,0.16588544845581055
19,0.9354838728904724,0.1870403289794922,0.875,0.22926589846611023
