,accuracy,loss,val_accuracy,val_loss
0,0.8523421883583069,0.29613813757896423,1.0,0.013847523368895054
1,0.9898167252540588,0.03177553787827492,1.0,0.002443868899717927
2,1.0,0.00198004231788218,1.0,0.00018416764214634895
3,1.0,0.0011216843267902732,1.0,8.206714846892282e-05
4,1.0,0.0007001846679486334,1.0,4.80241869809106e-05
5,1.0,0.00023488981241825968,1.0,2.8070253392797895e-05
6,1.0,6.827094330219552e-05,1.0,2.2700902263750322e-05
7,1.0,8.207104838220403e-05,1.0,1.9193686966900714e-05
8,1.0,8.781644282862544e-05,1.0,1.6060776033555157e-05
9,1.0,7.580066449008882e-05,1.0,1.0317910891899373e-05
10,1.0,0.0004601610417012125,1.0,1.276236343983328e-05
11,1.0,0.00017744270735420287,1.0,1.1060643373639323e-05
12,1.0,0.000999250914901495,1.0,1.2642392903217115e-05
13,1.0,0.0001244356099050492,1.0,1.568114385008812e-05
14,1.0,4.333255492383614e-05,1.0,8.806535333860666e-06
15,1.0,3.640010254457593e-05,1.0,6.806769761169562e-06
16,1.0,3.339089744258672e-05,1.0,3.6648111745307688e-06
17,1.0,3.4103602956747636e-05,1.0,2.8065160222467966e-06
18,1.0,1.533256727270782e-05,1.0,2.5725232717377366e-06
19,1.0,1.0612603546178434e-05,1.0,2.3446343675459502e-06
